label,geometry,DEM,LULC,NDVI,RAIN,SLOPE,SOIL,SPI,TOTAL_CURVATURE,TWI
0,POINT (557170.9651576743 721780.8926594197),0.0,0.0,,,2.449816e-07,0.0,1.2970073e-13,5.909418e-20,13.064844
0,POINT (520855.5110308287 710322.2777171775),7.0,2.0,0.18706553,476.23197766739804,2.0974424,8.0,3.670052e-07,1.4593614e-06,-4.3253813
0,POINT (523153.2020478929 719632.4023577493),7.0,2.0,0.11630275,299.27474044036524,1.288574,4.0,1.7310957e-07,2.3521675e-06,-4.1219115
0,POINT (572687.8395586271 718289.5959192053),0.0,0.0,,,3.4623443e-07,0.0,2.3747492e-13,1.1452372e-19,11.096127
0,POINT (544220.3430614943 720646.967222427),0.0,0.0,,,1.9244396e-07,0.0,2.0454458e-12,7.259745e-33,16.156189
0,POINT (537924.0728718769 718170.2353468903),6.0,7.0,-0.030264981,378.46313201682466,1.4020605,2.0,1.831175e-07,1.4848657e-06,-3.9841998
0,POINT (516081.0881382278 707457.623981617),0.0,0.0,,,1.6692942e-06,0.0,1.6151155e-13,4.007489e-18,9.373037
0,POINT (571673.2746939494 708352.8282739797),0.0,0.0,,,1.911995e-07,0.0,1.0431236e-11,1.6923955e-38,16.80897
0,POINT (551262.6168280806 710769.8798633589),0.0,7.0,0.033087447,440.292330995459,2.098732,3.0,8.600461e-06,5.5401156e-06,-2.6188385
0,POINT (561557.4661902513 716111.2654744561),0.0,0.0,,,1.911995e-07,0.0,2.5495067e-14,1.668488e-38,11.73194
0,POINT (525092.811348012 719065.439639253),0.0,0.0,,,1.911995e-07,0.0,4.4624162e-13,1.0961923e-37,14.003577
0,POINT (569345.7435338065 710202.9171448625),7.0,8.0,0.0042623547,,1.3513349,4.0,1.2003002e-07,5.0936105e-06,-4.2777734
0,POINT (554753.9135682951 718647.6776361504),0.0,0.0,,,1.9712547e-07,0.0,8.6372675e-14,1.03193455e-20,12.939392
0,POINT (522108.7970401365 719244.4804977255),4.0,7.0,0.024426386,288.7713595997085,0.051938828,3.0,4.2647166e-09,5.011132e-08,10.551553
0,POINT (567615.0152352387 710501.3185756501),4.0,7.0,0.075984225,566.2173215223089,0.707067,3.0,7.5149273e-06,9.963445e-07,-0.9630264
0,POINT (548666.524380229 712440.9278757692),5.0,7.0,0.011081165,440.292330995459,1.1916573,2.0,2.0191531e-07,6.1132675e-07,-3.424012
0,POINT (528106.6657989663 716827.4289083462),0.0,0.0,,,4.184835e-07,0.0,1.2216955e-12,1.3105051e-19,13.496812
0,POINT (557767.7680192493 712470.7680188479),5.0,7.0,0.004223283,444.2405641327265,1.1346688,3.0,1.1326723e-07,1.3554548e-05,-4.1911864
0,POINT (533597.2521254574 719632.4023577493),0.0,0.0,,,8.757944e-06,0.0,7.2756856e-11,1.1257785e-16,12.179543
0,POINT (537685.3517272469 717095.990196055),4.0,7.0,-0.017106054,433.4480705116316,0.7319599,2.0,2.998086e-07,7.820185e-07,-2.301253
0,POINT (570240.9478261692 712500.6081619267),7.0,4.0,0.14117059,566.2173215223089,3.7470844,9.0,8.45014e-05,1.40569055e-05,-4.118136
0,POINT (563288.1944888191 719393.6812131193),0.0,0.0,,350.6254515250622,2.3477378e-07,0.0,3.3955456e-13,2.87254e-20,13.701288
0,POINT (541713.7710428789 721900.2532317347),0.0,0.0,,,1.9244833e-07,0.0,1.04019415e-11,7.285462e-33,17.782528
0,POINT (571852.315552422 720080.0045039307),0.0,0.0,,,4.8232494e-05,0.0,2.0082764e-11,1.1370504e-15,7.2163043
0,POINT (563705.9564919217 709158.512137106),0.0,0.0,,,1.911995e-07,0.0,1.1185155e-12,3.5299793e-38,14.485113
0,POINT (520736.1504585137 708054.4268431921),10.0,8.0,0.12268101,476.23197766739804,1.2879157,9.0,2.2635552e-07,4.098236e-06,-3.6324816
0,POINT (571673.2746939494 715096.7006097784),4.0,7.0,0.07475763,566.2173215223089,0.19063388,3.0,1.725146e-08,2.081414e-07,6.0081487
0,POINT (526077.536069611 711098.1214372251),5.0,1.0,0.0275428,530.6180250214139,0.90243274,0.0,1.2168385e-07,3.7799687e-06,-3.7314332
0,POINT (568748.9406722314 715633.823185196),6.0,7.0,-0.007038754,566.2173215223089,1.0052472,2.0,5.2044504e-07,3.3725023e-06,-2.7629535
0,POINT (546905.9559385823 712918.3701650293),9.0,7.0,0.10015447,440.292330995459,0.73838705,3.0,3.5728485e-07,1.273576e-06,-2.3258438
0,POINT (569882.8661092242 720259.0453624032),0.0,0.0,,,3.4538093e-07,0.0,3.910855e-12,1.1160896e-19,15.179754
0,POINT (536342.5452887028 719841.2833593006),0.0,0.0,,,2.516159e-07,0.0,1.7823891e-13,1.03931535e-19,13.461074
0,POINT (542012.1724736664 706651.9401184906),0.0,0.0,,,1.7339282e-07,0.0,2.3001222e-13,2.7078842e-21,14.13656
0,POINT (516260.12899670034 720438.0862208757),0.0,0.0,,,1.911995e-07,0.0,6.890171e-13,7.706772e-39,15.081043
0,POINT (562601.8711980077 711933.6454434303),3.0,7.0,0.103425466,444.2405641327265,1.6268893,3.0,9.2682245e-07,1.0635904e-06,-3.0375454
